100.0,Fancy,Ruby,2012-03-02
100.0,Fancy,Java,2012-03-02
100.0,Fancy,Python,2012-03-02
100.0,Fancy,Shell,2012-03-02
100.0,Nimrod,Python,2012-03-02
100.0,Nimrod,Shell,2012-03-02
99.2,Ioke,JavaScript,2012-03-02
98.0,CoffeeScript,JavaScript,2012-03-02
97.9,Self,C,2012-03-02
97.7,Ioke,Ruby,2012-03-02
97.1,Dylan,Java,2012-03-02
97.1,Dylan,Shell,2012-03-02
97.1,Dylan,Common Lisp,2012-03-02
97.1,Dylan,C,2012-03-02
97.0,Nimrod,JavaScript,2012-03-02
97.0,Nimrod,C,2012-03-02
97.0,Nimrod,Delphi,2012-03-02
97.0,Turing,Perl,2012-03-02
96.9,Self,C++,2012-03-02
96.8,SuperCollider,C,2012-03-02
96.5,Boo,C#,2012-03-02
96.4,Assembly,C,2012-03-02
95.8,Self,Perl,2012-03-02
95.6,Nemerle,Shell,2012-03-02
95.5,Ada,C,2012-03-02
95.5,Ada,Shell,2012-03-02
95.2,Rebol,Shell,2012-03-02
95.1,SuperCollider,Shell,2012-03-02
94.9,Mirah,JavaScript,2012-03-02
94.8,Self,Shell,2012-03-02
94.8,Nu,C,2012-03-02
94.7,Ioke,Scala,2012-03-02
94.4,Turing,Shell,2012-03-02
94.2,SuperCollider,C++,2012-03-02
94.1,Dylan,Assembly,2012-03-02
94.1,Dylan,Python,2012-03-02
93.9,Nimrod,Objective-C,2012-03-02
93.9,Nimrod,Assembly,2012-03-02
93.9,Nimrod,Ruby,2012-03-02
93.9,Nimrod,R,2012-03-02
93.9,Nimrod,Perl,2012-03-02
93.3,Ada,C++,2012-03-02
93.2,Rebol,C,2012-03-02
93.1,Ioke,Python,2012-03-02
92.7,Gosu,JavaScript,2012-03-02
92.6,Nemerle,C,2012-03-02
92.5,Rebol,Ruby,2012-03-02
92.3,SuperCollider,Python,2012-03-02
92.3,Fancy,Clojure,2012-03-02
91.8,Rebol,Python,2012-03-02
91.6,Tcl,Shell,2012-03-02
91.6,Ioke,Groovy,2012-03-02
91.2,Dylan,ASP,2012-03-02
91.2,Dylan,JavaScript,2012-03-02
